first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
;Ahronson;28.8.81;"Rivka(""Nili"")  Nachruf.";-;-;-;-;MBNR.10.PER.0
Yehuda;Amichai;-;"‚Ärzburg-khrun:;,  17.  1,81";-;-;-;-;MBNR.10.PER.1
Dov;Amir;21.8.81;u.die  dt.Sprachinsel  Israels  (Gottgetreu);-;-;-;-;MBNR.10.PER.2
Rose;Ausländer;14.5.82;75;-;-;-;-;MBNR.10.PER.3
Schlomo;Avineri;-;Prof  Schlomo;Prof.;-;-;-;MBNR.10.PER.4
Fritz;Bamberger;1.1.82;80  (Gruenewald);Prof.;-;-;-;MBNR.10.PER.5
Helene;Barth;3.7.81;90  (E.Simon);-;-;-;-;MBNR.10.PER.6
Bela;Rartok;17.4.81;100.Geburtstag(Gradenwitz);-;-;-;-;MBNR.10.PER.7
"Richard:""Der";Reer-Hofmann;22.1.82;"junge  David""hebr.(Rosenbliith)";-;-;-;-;MBNR.10.PER.8
Siepfried;Nein;23.4.82;85;-;-;-;-;MBNR.10.PER.9
;Ben-David;5.11.82;Miriam;-;Todesanzeige;-;-;MBNR.10.PER.10
Jacob;Bernays;-;loo.  Todestag  3:71:81;Prof.;-;-;-;MBNR.10.PER.11
Elias;Bickermann;16.10.81;Hachmuf;Prof.;-;-;-;MBNR.10.PER.12
Gertrud;Blank;253.4.82;Todesauzeige;-;-;-;-;MBNR.10.PER.13
Arno;Blun;5.4.82;Nachrufbrief;Dr.;-;-;-;MBNR.10.PER.14
Enmi:Rede;Bonhoeffer;23.7.832;auf  d.Toten  v.1944  nn  _;-;-;-;-;MBNR.10.PER.15
Walter;Breslauer;-;;Dr.;-;-;-;MBNR.10.PER.16
Nax;Brod;4.12.81;"""Meister""  SBC";-;-;-;-;MBNR.10.PER.17
lienryk;Broder;13.35.81;M.  Abrechng  m.d.beutschen;-;-;-;-;MBNR.10.PER.18
Franz;Brüll;-;liachr.Y.Bach  23:1.81;Prof.;-;-;-;MBNR.10.PER.19
Elias;Canetti;6.11.81;Begegnungen  (Rr);-;-;-;-;MBNR.10.PER.20
Chaim;Cohn;17.4.81;H.  (Richter)geht  in  Pension  (JJRosenthal);-;-;-;-;MBNR.10.PER.21
Frof.Helene;Deutsch;-;Kachr.  23.4,82;-;-;-;-;MBNR.10.PER.22
;Ettlinger;3.7.81;Jona  Todesanz.;-;-;-;-;MBNR.10.PER.23
Frank;Falk;10.12.82;75  (Capell);Dr.;-;-;-;MBNR.10.PER.24
\erner;Fraenkel;-;"Erinnerungen  16.X.u.  8:%;81";-;-;-;-;MBNR.10.PER.25
lavid;Frankfurter;30.71.82;nachr,;-;-;-;-;MBNR.10.PER.26
Recha;Freier;6.5.81;Israel-Fre&s(olan);-;-;-;-;MBNR.10.PER.27
"Eike:""Scheunenviertel""(berlin";Geisel;18.6.82;1920)  Rez.RW;-;-;-;-;MBNR.10.PER.28
Ulrich;Gerhardt;30.4.81;"""Jild.Leben""Rez.5BC";-;-;-;-;MBNR.10.PER.29
Meir:iendelssohns;Gilon;25.12.81;kohelet  fiussar.Rez  Rosenbllith;-;-;-;-;MBNR.10.PER.30
Nahum;Goldmann;-;"""Zeit""-Artikel  22.1,82";Dr.;-;-;-;MBNR.10.PER.31
Hartin;Goldner;2.7.82;80  (E.Simon);Dr.;-;-;-;MBNR.10.PER.32
Srich;Gottgetren;20.11.81;Nachr.Penchorin;-;-;-;-;MBNR.10.PER.33
Walter;Gross;13.11.81;70  Capell;Dr.;-;-;-;MBNR.10.PER.34
Kax;Gruenewald;5.6.81;Fubl.Service  Hedal  NY.;Rabb.;-;-;-;MBNR.10.PER.35
Niels;llansen;11.9.81;;Dr.;-;-;-;MBNR.10.PER.36
Profff;Harkavi;-;Yehoslı:Bar  Kochba  Rez.  Tobias  ’ı8.81;-;-;-;-;MBNR.10.PER.37
;Haverkamp;-;Prof.Alfred(Hrsg):Juden  im  ma-Deutezchld.Rez.  Jütte.1.10.82;-;-;-;-;MBNR.10.PER.38
Jascha;Heifetz;13.1.81;80;-;-;-;-;MBNR.10.PER.39
lleinrich;lleine;-;;-;-;-;-;MBNR.10.PER.40
;lirschberg;7.8.81;Emmy  Toderanz.;-;-;-;-;MBNR.10.PER.41
;Hirschmann;17.7.8;Fritz  llachr.N.Prinz;-;-;-;-;MBNR.10.PER.42
;Hirshhorn;-;Joseph  (N.Y.)!achr,16.10.81;-;-;-;-;MBNR.10.PER.43
Gustav;Horn;1.1.82;(Hrsg)  :Ludwig  Tietz.rez.M.Cerson;-;-;-;-;MBNR.10.PER.44
Ephraim;Ilan(Pickholz);3.12.82;Nachr.Faerber;Dr.;-;-;-;MBNR.10.PER.45
;Isaacsohn;-;Siegfr.1845-82  (Nadav)261.11.82;-;-;-;-;MBNR.10.PER.46
Chiefftabbi;Jakobowits;10.7.81;Immanuel:geadelt;-;-;-;-;MBNR.10.PER.47
;Jakobson;-;Elfriede  Todesanz.13.2.01;-;-;-;-;MBNR.10.PER.48
Gershon;Jaretzki;-;Todesnachr.5.11.82;Prof.;-;-;-;MBNR.10.PER.49
;Just-Dahlmann;9.1.81;Rarbara:  JUd.Dichtg  n.Auschwitz  rez.ES;-;-;-;-;MBNR.10.PER.50
Walter;Kahn;5.11.82;Nachr.Cohn;Dr.;-;-;-;MBNR.10.PER.51
Chawa;Kamil;24.12.82;Todesnachr.;-;-;-;-;MBNR.10.PER.52
;Kaminka;6.5.81;Gideon  :Haifa  1943;-;-;-;-;MBNR.10.PER.53
;Katz;16.10.81;Willian:  Jüd.-dt.Leben.rez.Capell;-;-;-;-;MBNR.10.PER.54
;Katzenstein;12.3.82;Hilde  Todesanz.;-;-;-;-;MBNR.10.PER.55
Alfred:liachlass;Kerr;17.7.81;(Gottgetreu);-;-;-;-;MBNR.10.PER.56
;Kissinger;-;Henry  Memoiren  rez.  J.1-.Bl;-;-;-;-;MBNR.10.PER.57
Wwemer;Kraft;-;85  (Mittelmann)22.5.C1;-;-;-;-;MBNR.10.PER.58
Otto;Küster;-;75  14.582;-;-;-;-;MBNR.10.PER.59
heyer;Levin;-;liachr.  1141,81;-;-;-;-;MBNR.10.PER.60
Erwin;Lichtenstein;2.2.81;80;-;-;-;-;MBNR.10.PER.61
Lerpold;Lindtberg;18.6.82;80;-;-;-;-;MBNR.10.PER.62
;Lippmann;27.2.81;jalter(Jüd.telbsthass)  Gottgetreu;-;-;-;-;MBNR.10.PER.63
;Ludwig;-;Emil  100.Geburtstag(Gottgetreu)  23,1,.81;-;-;-;-;MBNR.10.PER.64
;Hlahrer;24.7.81;Josef  80  (Eaminka);-;-;-;-;MBNR.10.PER.65
;Wann;-;Thomas;-;-;-;-;MBNR.10.PER.66
Hax;Marcus;5.11.82;90  (Kanowitz);Prof.;-;-;-;MBNR.10.PER.67
Kurt;May;7.2.01;85;-;-;-;-;MBNR.10.PER.68
;Kenrdelsohn;30.1.8;Luise  Nachrufnotiz;-;-;-;-;MBNR.10.PER.69
Paul;Merz;13.3.81;(HOTschech.);Dr.;Nachruf;-;-;MBNR.10.PER.70
