title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Prof.;Karl;Adler;75;05.02.1965;;-;-
-;S.;Adler-Rudel;70;26.06.1964;(SM  HT  MK);-;-
-;S.J.;Agnon;75;02.08.1963;MMayer);-;-
-;Hermann;Ahlfeld;70;06.04.1962;mTP);-;-
-;Marianne;Ahlfeld-Heymann;60;05.02.1965;mTP);-;-
Dr.;Kurt;Alexander;-;09.03.1962;,Nachruf  EGL);-;-
-;Martin;Altertum;75;07.09.1962;;-;-
-;Jakob;Altmaier;-;15.02.1963;;Todesanzeige;-
-;Paul;Amann;-;-;"""JÃ¼d.Rundsch""  3o.11,34  Rez.";-;-
Dr.;Rudolf;Amelunxen;75;09.08.1963;;-;-
-;Jehuda;Amichai;-;-;Rez.18.9.63(WLewin);-;-
-;Hannah;Arendt;-;14.11.1958;Rez.Rahel  WLewin);-;-
-;Meir;Argov;-;06.12.1963;;Nachruf;-
-;Chaim;Arlosoroff;30;21.06.1963;3o.Todestag;-;-
-;Paula;Arnold;80;22.06.1962;8o(?):22.6.62 oder 80. 5.2.1965;-;-
-;Berthold;Auerbach;150;02.03.1962;15o.Geburtstg.2.3.62  u.13.7.62(Gottgetreu);-;-
Dr.;Elias;Auerbach;80;27.07.1962;(HT)  u.3.8.62(Preiser);-;-
-;Victor;Bach;70;08.01.1965;7o:  Kishoni);-;-
Dr.;Leo;Baeck;90;24.05.1963;(B.hebrÃ¤isch)9o.Geburtstg.24.5.63(Wilhelm);-;-
-;Bertha;Badt-Strauss;80;10.12.1965;8o:lo.12.65;-;-
Dr.;Albert;Baer;75;05.04.1963;;-;-
-;Jacob Georg;Baer;-;13.12.1963;Georg;Nachruf;-
Dr.;Kurt Jacob;Ball-Kaduri;-;03.05.1965;YadWashem)3â€¢5.63;-;-
Prof.;Fritz;Bamberger;-;12.01.1962;Professur  egl);-;-
-;Ludwig;Bamberger;-;-;Reminiszenz  B.v.Brentano:3o.3.62,<<  j;-;-
-;Shulamit;Batdori;-;27.09.1962;"GesprÃ¤ch  MTP)	''";-;-
Prof.;David;Baumgardt;-;09.08.1963;(ESimon);Nachruf;-
-;Arthur;Beermann;70;13.07.1962;"7o;13.7.62";-;-
Dr.;Alex;Bein;60;18.01.1963;6o:18.1.63(Herlitz);-;-
;M.Y.;Ben Gawriel;;08.10.1965;;;
-;Walter;Benjamin;-;-;;-;1892-194o
-;Gottfried;Benn;-;-;in  Times  Lit.21.12.62;-;-
Prof.;Norman;Bentwich;-;13.07.1962;.Norman  Memoiren  PAmold);-;-
Dr.;Fritz;Berger;-;-;6o:23.3.62(ER);-;-
-;Herzl;Berger;-;07.09.1962;Azaniah);Nachruf;-
Prof.;Hugo;Bergman;-;-;Rez.26.1.62(RW);-;-
;Jitzchak;Ben Zwi;-;-;t--1;-;-
-;Elisabeth;Bergner;-;-;Schiller-Preis  3o.11.62;-;-
-;Ruth;Berlak-Baeck;-;19.11.1965;;Nachruf;-
-;Alfred;Bernheim;80;16.07.1965;;-;-
-;Karl;Bick;-;15.01.1965;KrÃ¶ner);Nachruf;-
-;Herbert;Biermann;-;-;5.1o.62(pTau);Nachruf;-
;Micha Josef;Bin Gorion;;;;;
-;Rudolf;Bing;-;01.11.1963;;Nachruf;-
Dr.;Arthur;Biram;-;-;85:3o.8.63;-;-
-;Leo;Bloch;-;-;2o.12.63;Nachruf;-
Dr.;Werner;Bloch;-;01.05.1964;HT);Nachruf;-
Dr.;Richard;Blum;-;15.03.1963;;Nachruf;-
-;Jenny;Blumenfeld;-;02.03.1962;HT);Nachruf;-
-;Kurt;Blumenfeld;-;29.5.34:;"""Jiid.Rundschau""  50";-;-
-;Leo;Blumstein;-;03.12.1965;I31umst  ein,  Lola;Nachruf;-
;Lola;Blumstein;;;;;
Prof.;Franz;Böhm;-;-;7o:19.2.65(HT);-;-
-;Zwi;Boral;-;04.01.1963;;Todesanzeige;-
-;Rudolf;Borchardt;-;-;Timea  Lit.21.12.62;-;1877-1945
-;Ludwig;Börne;-;16.03.1962;125.Todestag  (1786-1837);-;-
-;Alexander Uriah;Boskowitch;;04.12.1964;;-;-
Dr.;Siegfried;Braun;-;-;8o:5.11.65;-;-
Dr.;Ludwig E.;Bregmann;-;22.03.1963;;-;-
-;Hermann;Broch;-;16.04.1962;"Artikel  11?)	  1886-1951)";-;-
