first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Aaron;Aaronsohn;5.12.69;50.Todestag;-;-;-;-;MBNR.5.PER.0
Konrad_;Adenauer;16.8.68;|  _Bengurion  Foundation;-;-;-;-;MBNR.5.PER.1
Bruno;Adler;-;Nachrufnotiz  24.1,69;-;-;-;-;MBNR.5.PER.2
S.;Adler-Rudel;-;75(HT)    20,6,69;-;-;-;-;MBNR.5.PER.3
Theodor;Adorno;15.8.69;W.  Todesnotiz;-;-;-;-;MBNR.5.PER.4
S.J.;Agnon;-;80(lTavor)  2,8,68;-;-;-;-;MBNR.5.PER.5
Willian;Albright;10.10.69;?.  Jerusalen-Ehrung;-;-;-;-;MBNR.5.PER.6
Leo;Anschel;28.11.69;80;-;-;-;-;MBNR.5.PER.7
Paula;Arnold;13.9.68;Nachruf(KL);-;-;-;-;MBNR.5.PER.8
Raynond;Aron;-;Literaturpreis  Nalnz  22,5.69;-;-;-;-;MBNR.5.PER.9
Uri;Awmeri;25.7.69;Rezens.Israel  0lıne  Zionisten(Schurmacher);-;-;-;-;MBNR.5.PER.10
Leo;Baeck;26.7.68;Grundstein  LB-Schule;-;-;-;-;MBNR.5.PER.11
Fritz;Bauer;12.7.68;Nachruf(i);-;-;-;-;MBNR.5.PER.12
Samugl;Beckett;7.11.69;Kandidat  Nobelpreis(Mi);-;-;-;-;MBNR.5.PER.13
Dan;venAmotz;20.9.68;Rezens.Erinnern(GL);-;-;-;-;MBNR.5.PER.14
David;BenGurion;3.1.69;Rezens.\Wir  u.Nachbarn(Preuss);-;-;-;-;MBNR.5.PER.15
ksra;Bennathan;31.1.69;Professor  in  Bristol;-;-;-;-;MBNR.5.PER.16
Norman;Bentwich;25.7.69;\bURO;-;-;-;-;MBNR.5.PER.17
W.A..;Berendsohn;-;W.A  .;-;-;-;-;MBNR.5.PER.18
Hugo;Bersman;-;"85  (RW,  Kellner)  20.12,  6  (gde;  a  a";-;-;-;-;MBNR.5.PER.19
;Bergmann;2.8.68;Ellesor(1834/36)  (  )(tachauer)  en;-;-;-;-;MBNR.5.PER.20
Else;Bergmann;-;lnchruf  24,1.69;-;-;-;-;MBNR.5.PER.21
Henna;Biran;6.9.68;Nachruf(LC);-;-;-;-;MBNR.5.PER.22
ifelene;Bloch;25.7.69;Nachruf(Gottgetreu);-;-;-;-;MBNR.5.PER.23
heinrich;Böll;-;in  Israel  16,.5.069;-;-;-;-;MBNR.5.PER.24
Lucy;Borchard;-;May  Todesnachricht  21.2,69;-;-;-;-;MBNR.5.PER.25
Ludwig;Börne;11.4.69;Rezens.Buch  v.ludw.Marcuse(Raphael);-;-;-;-;MBNR.5.PER.26
Fini;Brada;1.11.68;Nachruf(RB);-;-;-;-;MBNR.5.PER.27
Siegfried;Braun;5.9.69;(ER);-;Nachruf;-;-;MBNR.5.PER.28
Nax;Brod;27.12.68;-lHachruf(HT);-;-;-;-;MBNR.5.PER.29
Hartin;Buber;9.8.68;-  Neue  Lit.b.B.(HT)  2,8,68/;-;-;-;-;MBNR.5.PER.30
werner;Bukofzer;12.12.69;prosalHT)  i2i2;-;-;-;-;MBNR.5.PER.31
kurt;Burg;7.11.69;70(it);-;-;-;-;MBNR.5.PER.32
haria;Burg;14.3.69;0desanzeige;-;-;-;-;MBNR.5.PER.33
Samson;Buttenwieser;14.2.69;80;-;-;-;-;MBNR.5.PER.34
Moses;Calvary;24.1.69;25.Todestag;-;-;-;-;MBNR.5.PER.35
klias;Canetti;22.8.69;-Lit.Preis  kHünchen;-;-;-;-;MBNR.5.PER.36
Paul;Celan;-;in  Israel  17.10,69;-;-;-;-;MBNR.5.PER.37
arc;Chagall;12.9.69;Knesset/Wandteppich(Gottgetreu);-;-;-;-;MBNR.5.PER.38
Ernst;Chain;11.7.69;"Boris(London)  ""Sir!""";-;-;-;-;MBNR.5.PER.39
Nathan;Chofschi;25.4.69;80(Simon);-;-;-;-;MBNR.5.PER.40
Abba;Chuschi;11.4.69;“achruf(Kaminka);-;-;-;-;MBNR.5.PER.41
Hermann;Cohen;12.7.68;-larburger  Ehrung(EGL);-;-;-;-;MBNR.5.PER.42
Reinhold;Cohn;31.10.69;70;-;-;-;-;MBNR.5.PER.43
Franz;Csokor;31.1.69;Theodor  Nachrufnotiz;-;-;-;-;MBNR.5.PER.44
;Davidovitch;14.53.69;David  kezens.kKetuba(HStrauss);-;-;-;-;MBNR.5.PER.45
irnst;Deutsch;18.4.69;-iiachruf(HT);-;-;-;-;MBNR.5.PER.46
lans;Driesch;13.9.68;in:meine  Philos.-Professoren(SBraun);-;-;-;-;MBNR.5.PER.47
David;Efrati;14.2.69;;-;Todesanzeige;-;-;MBNR.5.PER.48
Jakob;Kisner;5.7.68;60  (AS);-;-;-;-;MBNR.5.PER.49
Walter.;Erhard;17.1.69;70  (JWeiss);-;-;-;-;MBNR.5.PER.50
Leo;Ermann;31.1.69;To  (RüÜl£f)  Y&.c;-;-;-;-;MBNR.5.PER.51
laurice;Ettinghausen;11.10.68;L.  Erinnerungen(Gottgetreu);-;-;-;-;MBNR.5.PER.52
Felix;Fechenbach;7.2.69;-Prozess  Paderborn;-;-;-;-;MBNR.5.PER.53
Lion;Feuchtwanger;9.5.69;Berliner  Ausstellung;-;-;-;-;MBNR.5.PER.54
Andor;Fodor;14.2.69;Nachruf(Lichtenstein);-;-;-;-;MBNR.5.PER.55
Emilia;Fogelklou-Norlind;26.7.68;90  (MIP);-;-;-;-;MBNR.5.PER.56
lierbert;Fresden;-;60  21.2,.69;-;-;-;-;MBNR.5.PER.57
kElijahu;Frenkel;11.10.68;Karl  80;-;-;-;-;MBNR.5.PER.58
Sigmund;Freud;13.12.68;-Briefwechsel  n.A.Zweig(HI);-;-;-;-;MBNR.5.PER.59
Oliver(Sohn;Freud;1.2.69;v.Sigmund  F)  Todesnachricht;-;-;-;-;MBNR.5.PER.60
Saul;Friedländer;9.5.69;Kezens.Gerstein-Buch(HT);-;-;-;-;MBNR.5.PER.61
Georges;Friedmann;18.4.69;HKezens.Ende  d.jüd.Volkes(Kellner);-;-;-;-;MBNR.5.PER.62
Stefan;George;19.7.68;Kunst  u.Leben(Hr);-;-;-;-;MBNR.5.PER.63
landor;Glid;11.10.68;;-;-;-;-;MBNR.5.PER.64
;Glubb;9.5.69;(Sir)John  B,  Hezens.Gesch.d.äraber  (Plessner);-;-;-;-;MBNR.5.PER.65
llachum;Goldmann;6.12.68;Herzli-Preis;-;-;-;-;MBNR.5.PER.66
Fritz;Goldschnidt;12.7.68;Nachruf(iff);-;-;-;-;MBNR.5.PER.67
lierm.Levin;Goldschmidt;17.10.69;Ehrenprofessur;-;-;-;-;MBNR.5.PER.68
iduard;Goldstücker;-;-  Auszeichng  Darustadt  2143.69;-;-;-;-;MBNR.5.PER.69
