first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Karl;Abrahan;15.1.71;Institut  Berlin;-;-;-;-;MBNR.6.PER.0
Frof.EImiI;ädler;-;Frof  EImiI;-;-;-;-;MBNR.6.PER.1
H.C.;Adler;10.7.76;60  HIT);-;-;-;-;MBNR.6.PER.2
Farl;äAdler;17.92.73;;-;Nachruf;-;-;MBNR.6.PER.3
S.J.;Aenon;-;Hachruf  HT  27,.2.70;-;-;-;-;MBNR.6.PER.4
Gerschon;Ahroni;-;Nachmif  2%,7.71;-;-;-;-;MBNR.6.PER.5
Ilse;Aichinger;-;Nelly-Sachs-ITreis  24,17.71;-;-;-;-;MBNR.6.PER.6
;Albrieht;1.10.71;"LP;  kachruf";-;-;-;-;MBNR.6.PER.7
Georg;älter;12.1.7%;Schänberp-Archiv;-;-;-;-;MBNR.6.PER.8
;Alterthum;-;Fartin  85  %3,.9,72;-;-;-;-;MBNR.6.PER.9
;Altmann;-;Alexander  Dr.h.e.!inchen  ?%0,6,7?;-;-;-;-;MBNR.6.PER.10
Ginther;Anders;17.10.72;Biorr.;-;-;-;-;MBNR.6.PER.11
A.;Apelfeldt;6.10.72;"""Haut  u.Hem""  Nez,";-;-;-;-;MBNR.6.PER.12
;Auerbach;9.1.70;"lias  ""Fionier""  Rez.";-;-;-;-;MBNR.6.PER.13
;Auerbach;-;Hoses  90    ?6.?.71;-;-;-;-;MBNR.6.PER.14
Sierfriei;Aufhfuser;0.1.70;;-;Nachruf;-;-;MBNR.6.PER.15
Jehuda;Avron;11.35.70;(Mmsiler);-;Nachruf;-;-;MBNR.6.PER.16
;BAECK;-;Leo  (und  LBI-Fublikationen);-;-;-;-;MBNR.6.PER.17
Juden;Dt;-;in  krieg  u.Revolut,  29,3,.72;-;-;-;-;MBNR.6.PER.18
Bertha;Radt-Strauss;-;schloschim  ?0,%,70;-;-;-;-;MBNR.6.PER.19
Kurt;Ball-Kaduri;15.1.71;&0  ;-;-;-;-;MBNR.6.PER.20
!rof.;Ramberper;-;fritz  70    21.1,72;-;-;-;-;MBNR.6.PER.21
;Bandmann;10.41.70;!artin  70  BC;-;-;-;-;MBNR.6.PER.22
\lbert;Baer;-;85  %0,7,7%;-;-;-;-;MBNR.6.PER.23
Röss;Baer;7.5.71;sachmif;-;-;-;-;MBNR.6.PER.24
;Barrach-Heymann;11.5.7”;Frieda;-;Nachruf;-;-;MBNR.6.PER.25
Helene;Barth;-;ROFS  56T  Sn  gr  Ark  40.1470  r4);-;-;-;-;MBNR.6.PER.26
Nenachen;Berin;22.1.7?;in  ängland;-;-;-;-;MBNR.6.PER.27
Aler;Bein;26.1.73;70;-;-;-;-;MBNR.6.PER.28
Hlore;Belisha;-;Entt£uschter  finister  WI  17%,7.72;-;-;-;-;MBNR.6.PER.29
;Ben-Haim;-;faul  Teier  1%.5.72;-;-;-;-;MBNR.6.PER.30
“alter;Benjamin;10.12.71;Vebers.;-;-;-;-;MBNR.6.PER.31
6tto;Bental;-;75  MI  29,.1.72;-;-;-;-;MBNR.6.PER.32
Norman;Bentrich;-;HT  2%.4,71;-;Nachruf;-;-;MBNR.6.PER.33
Neinz;Berendt;15.9.7?;C.  Parapsycholopie  Rez,.Flusser;-;-;-;-;MBNR.6.PER.34
;Berrer:\lfred;-;Beate,  Else,  Julius  —  lelbergrräber  emeuert.;-;-;-;-;MBNR.6.PER.35
Bertha;Berrer;6.3.70;schloschim;-;-;-;-;MBNR.6.PER.36
"""ritz";Berser;11.2.72;70;-;-;-;-;MBNR.6.PER.37
®lisabeth;Bersner;29.92.72;75;-;-;-;-;MBNR.6.PER.38
Jehoschua;Bertonoff;3.2.71;Machmıf;-;-;-;-;MBNR.6.PER.39
Ch.N..;Bialik;-;Ch.N  .;-;-;-;-;MBNR.6.PER.40
Rahbb.leir;Bieler;14.90.73;?0,.Todestag;-;-;-;-;MBNR.6.PER.41
;Biram;9.4.71;Arthur  B,u.Lichthein  55;-;-;-;-;MBNR.6.PER.42
Gertrud;Blank;18.72.72;80;-;-;-;-;MBNR.6.PER.43
rich;Rlech;-;75  MT  42.72;-;-;-;-;MBNR.6.PER.44
;Blum;5.6.70;Örnst(Min.Rat);-;Nachruf;-;-;MBNR.6.PER.45
;Blım;-;Israel  Robert  “rinnerungeen  *%0.#,77?;-;-;-;-;MBNR.6.PER.46
ladwie;Blun;-;50  7%,7,71;-;-;-;-;MBNR.6.PER.47
Kurt;Rlumenfeld;1.5.73;1lo,'odestar;-;-;-;-;MBNR.6.PER.48
;Blumenthal;-;alter  70  12,6.71;-;-;-;-;MBNR.6.PER.49
feinrich;Böll;31.17.71;B.u.d,Juden;-;-;-;-;MBNR.6.PER.50
Curt;Bondy;-;Eachruf  1,2.77?;-;-;-;-;MBNR.6.PER.51
;Borges;-;Jorge  L,  Jerusalemreis  ?%0.4.71;-;-;-;-;MBNR.6.PER.52
ibe;Bornstein;25.2.72;Bioer.;-;-;-;-;MBNR.6.PER.53
;Brandt;29.10.71;illy  Hlobelpreis;-;-;-;-;MBNR.6.PER.54
;Braun-Vogelstein;-;Julie  Nachmf  ES  19.2,71;-;-;-;-;MBNR.6.PER.55
;Braunthal;-;Julius  RT  4,8,72;-;Nachruf;-;-;MBNR.6.PER.56
kar;Brod;23.1.70;1.Todestar;-;-;-;-;MBNR.6.PER.57
’azi;Biorr;-;(HT)  5.%.71;-;-;-;-;MBNR.6.PER.58
;Trumn;6.7.70;Georg  iachruf;-;-;-;-;MBNR.6.PER.59
Heinrich;Briinin;-;lenoiren  17.%,71;-;-;-;-;MBNR.6.PER.60
;Brunner;-;Constantin  lehre  12.5,72;-;-;-;-;MBNR.6.PER.61
Hartin;Buber;-;Ich  u.Du  tschechisch  1%,?.7c;-;-;-;-;MBNR.6.PER.62
Todestar;S;192.6.70;;-;-;-;-;MBNR.6.PER.63
in;B;26.11.71;Frage;-;-;-;-;MBNR.6.PER.64
u.Nerrenheim;B;-;17.  u  u;-;-;-;-;MBNR.6.PER.65
.;Fibhuz-Ausstelle;-;2.%,73;-;-;-;-;MBNR.6.PER.66
lax;Buchmann;14.1.7?;;-;Nachruf;-;-;MBNR.6.PER.67
;Burr;17.7.70;Furt  schloschim  HT;-;-;-;-;MBNR.6.PER.68
fıdolf;Callmann;-;20  29,0.72;-;-;-;-;MBNR.6.PER.69
;Canetti;-;"""lias    Bi’chnerrreis  18.8,72";-;-;-;-;MBNR.6.PER.70
;Carlebach;13.7.73;Josef  Gedicht  AM1;-;-;-;-;MBNR.6.PER.71
Joachim;Caspari;-;Überberusstsein  Nez,  19,1.70;-;-;-;-;MBNR.6.PER.72
Taul;Celan;-;lachruf  HT  15,5.70;-;-;-;-;MBNR.6.PER.73
tark;Charll;17.11.7?;85  (7,v1I);-;-;-;-;MBNR.6.PER.74
7ri;Chajes;-;Ferez  Dokumente  23,7,7?;-;-;-;-;MBNR.6.PER.75
Carl;Cohen;1.4.72;"(""ssen/UsA)  70";-;-;-;-;MBNR.6.PER.76
;Cohen;2.12.72;?ridi1  FBachruf;-;-;-;-;MBNR.6.PER.77
tabriel;Cohen;3.7.70;iachruf;-;-;-;-;MBNR.6.PER.78
10.71.-—22..10.71.;r2;-;10.71.-—22  .10.71.;-;-;-;-;MBNR.6.PER.79
Hermann;Cohen;5.2.71;Archiv;-;-;-;-;MBNR.6.PER.80
leo;Cohen;25.5.73;A.  Nachmuf;-;-;-;-;MBNR.6.PER.81
;Cohn;12.4.7;Chanoch  lleinrich  80;-;-;-;-;MBNR.6.PER.82
Charra;Cohn;-;%0.4.71;-;Nachruf;-;-;MBNR.6.PER.83
Lotte;Cohn;-;iein  Weg  z.Zionismus  27,.6.72;-;-;-;-;MBNR.6.PER.84
Daniel;Cohn-Bendit;-;in  Israel  12,6.70;-;-;-;-;MBNR.6.PER.85
3aul;Colbi;-;P.  Buch  Rez.  ?*.4.70;-;-;-;-;MBNR.6.PER.86
äichari;Coudenhove-Kalergi;-;liachruf  2%3,7,7%;-;-;-;-;MBNR.6.PER.87
Hendrik;wanDam;-;HT  ?7.4.73;-;Nachruf;-;-;MBNR.6.PER.88
kosche;Dajan;11.2.7?;Biogr.;-;-;-;-;MBNR.6.PER.89
äbraham;Daus;-;70  ?%,.6.72;-;-;-;-;MBNR.6.PER.90
Ben-Zion;Dinur;-;lNachrif  1?%.7.7%;-;-;-;-;MBNR.6.PER.91
Ürich;Dombroswski;24.11.72;HNachruf;-;-;-;-;MBNR.6.PER.92
Abr.\ilh.;Doroth-Disterwald;10.10.7?;;-;Nachruf;-;-;MBNR.6.PER.93
älfred;Dresel;-;5.  80  HT  2,1.71;-;-;-;-;MBNR.6.PER.94
Georr;Duckwitz;-;F,  Ehrınz  30.4,71;-;-;-;-;MBNR.6.PER.95
Albrecht;Diirer;12.11.71;5000,Geburtstae;-;-;-;-;MBNR.6.PER.96
Tilla;Durieur;-;90  28.82,.Tec;-;-;-;-;MBNR.6.PER.97
äbba;Tban;25.5.73;Eioer,;-;-;-;-;MBNR.6.PER.98
Gerald;üdelman;-;Hobelpreis  Fed.  ?0,10,.7?;-;-;-;-;MBNR.6.PER.99
älbert;Sinstein;7.3.70;Vortrag  F,0llendorff;-;-;-;-;MBNR.6.PER.100
Carl;Sinstein;-;Gedenktafel  23.7,72;-;-;-;-;MBNR.6.PER.101
;Sinstein;-;Mans  Albert  :sachruf  24,8.7?;-;-;-;-;MBNR.6.PER.102
;Elbogen;-;"Ismer  ""Gottesdienst""  hebr,  ?%0,%,73";-;-;-;-;MBNR.6.PER.103
ärie;Bliav;13.7.73;L,  Erez  llazıri  lez.;-;-;-;-;MBNR.6.PER.104
ämos;Tlon;17.9.71;Israelis  fez.;-;-;-;-;MBNR.6.PER.105
Arthur;sloesser;-;loo.Cehurtstaz  ?0,*,700;-;-;-;-;MBNR.6.PER.106
Imaz;Emrich;1.6.73;70  HT;-;-;-;-;MBNR.6.PER.107
Bernt;ngelmann;17.17.71.—?4.17,71;Deutschland  0hne  Juden  ltez,;-;-;-;-;MBNR.6.PER.108
Yäte;Iphraim-Tarcus;1.9.70;(gest.14.1.);-;Nachruf;-;-;MBNR.6.PER.109
Bertha;ünstein;24.11.72;;-;Nachruf;-;-;MBNR.6.PER.110
Harry;Epstein;7.9.73;;-;Nachruf;-;-;MBNR.6.PER.111
;Erhard;31.12.71;Jalter;-;Nachruf;-;-;MBNR.6.PER.112
;Sstermann;27.1.7%;Iamanuel  Gedenkrede;-;-;-;-;MBNR.6.PER.113
;Seldsberg;18.9.70;'rnst;-;Nachruf;-;-;MBNR.6.PER.114
;Pischel;72.12.77;alter  J.  70;-;-;-;-;MBNR.6.PER.115
larry;Fischer;17.9.7%;70;-;-;-;-;MBNR.6.PER.116
;Fischer;-;/alter  Nachmıf  %.17.71;-;-;-;-;MBNR.6.PER.117
tioshe;Fischl;-;Fritz  7.%.71;-;Nachruf;-;-;MBNR.6.PER.118
;Toerder;19.65.70;Teschajahu  Herbert  “achmuf  HT;-;-;-;-;MBNR.6.PER.119
rnst;Tränkel;29.10.71;Wachruf;-;-;-;-;MBNR.6.PER.120
Carl;Frankenstein;27.10.72;Gedichte  Ps  (a  ua);-;-;-;-;MBNR.6.PER.121
"""einrich";Freudenberger;-;Fachruf  ?5,7.72;-;-;-;-;MBNR.6.PER.122
;Tre:denthal;7.2.77;Berthold  loo.Geburtstar;-;-;-;-;MBNR.6.PER.123
;Triedlämier;-;rnst  ?6.1.7%;-;Nachruf;-;-;MBNR.6.PER.124
Ilenri;Srtedländer;-;"Gutenberg-!""reis  ?9,%,.71";-;-;-;-;MBNR.6.PER.125
kKurt;triedländer;17.9.7;‘Wire;-;-;-;-;MBNR.6.PER.126
Salomo;Triedl#nder(ynona);-;Archiv  ?1,7,72;-;-;-;-;MBNR.6.PER.127
Schrara;Friedman;1.7.70;iachruf;-;-;-;-;MBNR.6.PER.128
;Frischmann;-;David  50.Todestar  19.%.72;-;-;-;-;MBNR.6.PER.129
Richard;Fuchs;-;20.*.70;-;Nachruf;-;-;MBNR.6.PER.130
Shulamit;Firth-Iaupheimer;17.5.70;l!ıachruf;-;-;-;-;MBNR.6.PER.131
lanfred;Ceis;9.2.73;liest  Heine;-;-;-;-;MBNR.6.PER.132
Robert;Ceis;-;R,  Buher-Rosenzweig-Nedaille  1,8,.70;-;-;-;-;MBNR.6.PER.133
;Georpr;-;Nanfred  (Aufbau-Buch)  28,1.12;-;-;-;-;MBNR.6.PER.134
;Gladstein;-;Tunia  #.9.70;-;Nachruf;-;-;MBNR.6.PER.135
Herm.Sam..;Glasscheib;-;Herm.Sam  .;-;-;-;-;MBNR.6.PER.136
NYahum;Glatzer;-;K,  70  UT    30.%.75;-;-;-;-;MBNR.6.PER.137
Nelson;"Glure""";5.7.71;;-;Nachruf;-;-;MBNR.6.PER.138
;Cl'icksmann;12.11.71;Erida;-;Nachruf;-;-;MBNR.6.PER.139
Lea;Goliberp;-;schloschim  1%.?2.70;-;-;-;-;MBNR.6.PER.140
;Goldmann;10.7.70;Tahum  fiemoirs  RY;-;-;-;-;MBNR.6.PER.141
ärnst;Goläschmidt;-;Daniel  75  HT  25,17.10;-;-;-;-;MBNR.6.PER.142
;Gollstein;11.5.7%;alter  Benjamin  20;-;-;-;-;MBNR.6.PER.143
lartha;Gottberr;4.3.72;;-;Todesanzeige;-;-;MBNR.6.PER.144
rich;Go*:tgetreu;7.0.73;70;-;-;-;-;MBNR.6.PER.145
;Crah;-;alter  Deutschlandbuch  Rez  HT  1'.1.72;-;-;-;-;MBNR.6.PER.146
Teter;Graden-itz;-;Salzburgrreis  13.R,.71;-;-;-;-;MBNR.6.PER.147
liermann;Gradnauer;10.11.77?;llachruf;-;-;-;-;MBNR.6.PER.148
;Grass;4.2.72;G'nther  ''d.Juden;-;-;-;-;MBNR.6.PER.149
Hans;Srimm;-;Redivivus?  ?.2.73;-;-;-;-;MBNR.6.PER.150
;Grossmann;-;kurt  17.%.72;-;Nachruf;-;-;MBNR.6.PER.151
Neinrich;Gr’ber;9.7.71;80  HT;-;-;-;-;MBNR.6.PER.152
Maurice;Grynblat;2.6.72;;-;Todesanzeige;-;-;MBNR.6.PER.153
"""illy";Hzas;-;20  HT  25,6.71;-;-;-;-;MBNR.6.PER.154
'lans;Hahe;2.6.73;Bioer.;-;-;-;-;MBNR.6.PER.155
lienachen;Yalevy;14.9.73;Rez.;-;-;-;-;MBNR.6.PER.156
