first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Uve;Adam;10.10.75;"""Judenpolitik""  rez.tinat";-;-;-;-;MBNR.7.PER.0
G.G.;Adler;-;"""Der  verwaltete  Mensch""  rez.  1579.  74";-;-;-;-;MBNR.7.PER.1
S.;Adler-Rudel;28.56.74;80,  (Simon,HT);-;-;-;-;MBNR.7.PER.2
S.J.;Agnon;15.2.74;"""Ir  u'meoloäh""  (Tobias)";-;-;-;-;MBNR.7.PER.3
f'rof.kurt;Badt;-;'odesnachr.  ?1.12.73;-;-;-;-;MBNR.7.PER.4
Feter;Ramm;16.8.74;Autobiogr.(F.Berg-r);-;-;-;-;MBNR.7.PER.5
L.v.(u.die;Beethoven;-;Juden  v.wien)Gradhwitz  1941073;-;-;-;-;MBNR.7.PER.6
Atex;Bein;19.7.74;Neuaufl.Herzlbiogr.  (Gottgetreu);-;-;-;-;MBNR.7.PER.7
Arie;Ban-David;-;walmud.Vekonomie,rez.Michaelis.?1.6.74;-;-;-;-;MBNR.7.PER.8
D.;Ken-Gurion;7.12.73;Würdigung  HT;-;-;-;-;MBNR.7.PER.9
Paul;sen-Haim;19.44.74;75  Notiz;-;-;-;-;MBNR.7.PER.10
W.B.;Berendsohn;17.5.74;Threndoktor  Stockholm;Prof.;-;-;-;MBNR.7.PER.11
tugo;Bergman;28.12.73;90  (geb.25.XIT)HT;Prof.;-;-;-;MBNR.7.PER.12
yesaja;Berlin;13.9.74;YFrsident  Krit.Academy;Prof.;-;-;-;MBNR.7.PER.13
Alfred;Hernheim;12.4.74;(gest.März)G.Stern;-;Nachruf;-;-;MBNR.7.PER.14
Otto;Best;19.14.74;"F.  ""Mameloschen""  rez.BenThorin";-;-;-;-;MBNR.7.PER.15
ch.N.;Bialik;17.7.7;Uni-Ansprachen(Tobias);-;-;-;-;MBNR.7.PER.16
Yilliam;Rlake;5.4.74;Jerusalem-uvedicht.  uv.Stern;-;-;-;-;MBNR.7.PER.17
verner;Rloch;17.5.7;10.tTodestag.HT;-;-;-;-;MBNR.7.PER.18
Arno;Blum;5.7.74;A.;Dr.;Nachruf;-;-;MBNR.7.PER.19
wilfird;Plunt;26.7.7;Samrkand  rez.RW.;-;-;-;-;MBNR.7.PER.20
Martin;Buber;10.5.74;R.als  Volkserzieher(GStern);-;-;-;-;MBNR.7.PER.21
