title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Prof.;Karl;Adler;75;5.2.65;;-;-
-;S.;Adler-Rudel;-;-;7o:26.6.64(SM  HT  MK);-;-
-;S.J.;Agnon;75;2.8.63;MMayer);-;-
-;Hermann;Ahlfeld;-;6.4.62;7o:  mTP);-;-
-;Marianne;Ahlfeld-Heymann;-;5.2.65;6o:  mTP);-;-
-;Ur.Kurt;Alexander;-;9.3.62;,Nachruf  EGL);-;-
-;Kartin;Altertum;75;7.9.62;;-;-
-;Jakob;Altmaier;-;15.2.63;;Todesanzeige;-
-;Paul;(Amann;-;-;"""Jüd.Rundsch""  3o.11,34  Rez.";-;-
Dr.;Rudolf;Amelunxen;75;9.8.63;;-;-
-;Jehuda;Amichai;-;-;Rez.18.9.63(WLewin);-;-
-;Hannah;Arendt;-;14.11.58;Rez.Rahel  WLewin);-;-
-;Meir;Argov;-;-;6.12,63;Nachruf;-
-;-;-;-;21.6.63;3o.Todestag;-;-
-;Paula;Arnold;-;-;8o(?):22.6.62;-;-
-;Berthold;Auerbach;-;-;15o.Geburtstg.2.3.62  u.13.7.62(Gottgetreu);-;-
Dr.;Elias;Auerbach;-;27.7.62:8o;(HT)  u.3.8.62(Preiser);-;-
-;Victor;Bach;-;8.1.65;7o:  Kishoni);-;-
Dr.;Leo;Baeck;-;-;(B.hebräisch)9o.Geburtstg.24.5.63(Wilhelm);-;-
-;Bertha;Badt-Strauss;-;-;8o:lo.12.65;-;-
Dr.;Albert;Baer;75;5.4.63;;-;-
-;Jacob;Baer;-;13.12.63;Georg;Nachruf;-
Dr.;K.(Empfang;Bal1-Kaduri;-;-;YadWashem)3•5.63;-;-
Prof.;Fritz;Bamberger;-;12.1.62;Professur  egl);-;-
-;Ludwig;-Jiamberger;-;-;Reminiszenz  B.v.Brentano:3o.3.62,<<  j;-;-
-;Shulamit;Batdori;-;27.9.62;Gespräch  MTP)	'';-;-
Prof.;David;Baumgardt;-;9.8.63;(ESimon);Nachruf;-
-;Arthur;Beermann;-;-;"7o;13.7.62";-;-
Dr.;Alex;Bein;-;-;6o:18.1.63(Herlitz);-;-
-;Walter;Benjamin;-;-;;-;1892-194o
-;Gottfried;Benn;-;-;in  Times  Lit.21.12.62;-;-
-;Prof;Bentwich;-;13.7.62;.Norman  Memoiren  PAmold);-;-
Dr.;Fritz;Berger;-;-;6o:23.3.62(ER);-;-
-;Herzl;Berger;-;7.9.62;Azaniah);Nachruf;-
Prof.;Hugo;Bergman;-;-;Rez.26.1.62(RW);-;-
-;-;-;-;-;t--1;-;-
-;Elisabeth;Bergner;-;-;Schiller-Preis  3o.11.62;-;-
-;Ruth;Berlak-Baeck;-;19.11.65;;Nachruf;-
-;Alfred;Bernheim;-;16.7.65;So:;-;-
-;Karl;Bick;-;15.1.65;Kröner);Nachruf;-
-;Herbert;Biermann;-;-;5.1o.62(pTau);Nachruf;-
-;Rudolf;Bing;-;1.11.63;;Nachruf;-
Dr.;Arthur;Biram;-;-;85:3o.8.63;-;-
-;Leo;Bloch;-;-;2o.12.63;Nachruf;-
Dr.;Werner;Bloch;-;1.5.64;HT);Nachruf;-
Dr.;Richard;Blum;-;15.3.63;;Nachruf;-
-;Jenny;Blumenfeld;-;2.3.62;HT);Nachruf;-
-;Kurt;Blumenfeld;-;29.5.34:;"""Jiid.Rundschau""  50";-;-
-;Leo;.Blumstein;-;3.12.65;I31umst  ein,  Lola;Nachruf;-
Prof.;Franz;Böhm;-;-;7o:19.2.65(HT);-;-
-;Zwi;Boral;-;4.1.63;;Todesanzeige;-
-;Rudolf;Borchardt;-;-;Timea  Lit.21.12.62;-;1877-1945
-;Ludwig;Börne;-;16.3.62;125.Todestag  (1786-1837);-;-
-;Alex.U.Nachruf;Boskowitch;-;4.12.64;;-;-
Dr.;Siegfr.;Braun;-;-;8o:5.11.65;-;-
Dr.;Ludw.E.Nachruf;Bregmann;-;22.3.63;;-;-
-;Hermann;Broch;-;16.4.62;Artikel  11?)	  1886-1951);-;-
Dr.;Max;Brod;-;22.5.64;8o:  HT  FW  KL).  -  Ehrungen:5.6.64;-;-
-;Emmy;Broder;-;-;Todanzeige  23-3.62;-;-
Dr.;Daniel;Brody;-;17.1.64;So:  (HT);-;-
Dr.;Jakob;Bronowski;-;1.6.62;Würdigung;-;-
-;David;Bruenn;-;-;5.  7o:5.11,65;-;-
-;Constantin;Brunner;-;31.8.62;loo.Geburtatg;-;-
Prof.;Martin;Buber;-;-;Rez.Kohn-Biogr.24.8.62(MMayer);-;-
-;Josef;Buloff;-;8.2.63;Kritik  Ceis);-;-
-;Carl;Burckhardt;-;8.1.6o;J.  Danziger  Mission);-;-
-;Pablo;Casals;-;27.4.62;Notiz;-;-
-;Marc;Chagall;-;16.2.62;Hadassa—Eenster  HStr)-19.2.65  HStr);-;-
-;WS;Churchill;-;29.1.65;;-;-
-;Carl;Cohen;-;-;6o:23.2.62(ESimon);-;-
-;Erich;Cohn;-;14.9.62;Lichtheim);Nachruf;-
-;hens;Cohn;-;-;8o:7.9.62(llerlitz);-;-
-;Josef;Cohn;-;6.9.64;6o:  (RW);-;-
Dr.;Ludwig;Cohn;-;25.5.62;Marth);Nachruf;-
Dr.;Fritz;Corsing;-;12.1.62;2X  (EGL);Nachruf;-
-;Alfrfede;Cortot;-;13.7.62;Risenfeld);Nachruf;-
-;Richard(in;Crossman/;-;-;Rechovot)15.5.59;-;-
-;Hillel;Dan;-;-;Bez<,Autobiogr.(GLi);-;-
-;Walter;Danziger;-;-;7o:16.2.62;-;-
-;Ernst;Deutsch;-;-;Kainzmedaille  17.lo.62;-;-
-;Alfred;Döblin;-;-;;-;187S-195V
-;Alice;Domker;-;-;Nachr.23-3-62;-;-
Prof.;Simon;Dubnow;-;3.1.64;RW)  (186o-1941);-;-
Rabb.;;Dünner;-;4.1.63;Joa.liirsch(v.Amsterdam);-;-
Dr.;Ephraim;Edelstein;-;-;Nachr.1.6.62;-;-
Rabb.;Salomon;Ehrmann;-;-;Nachr.2.7.65;-;-
Prof.;Paul;Ehrlich;-;24.8.62;Würdigung;-;-
-;Nathan;Eidinger;-;-;Würdigung  17.lo.62;-;-
Prof.;Alb.;Einstein;-;15.2.65;E-Buch  in  Russland;-;-
-;Hanns;Eisler;-;-;Nachr.14.9.62;-;-
Prof.;Ismar;Elbogen;-;2.8.6j;2o.Todestg  Wilhelm);-;-
-;Regi;Elbogen;-;-;Nachr.14.5.65;-;-
-;Fritz;Elkan;-;-;Nachr.31.1.64;-;-
-;Clara;Eltern;-;24.1.64;schloschim  Ettlinger);-;-
-;Harry;Epstein;85;18.9.64	f;;-;-
Rabb.;Max;EscheIbacher;-;-;Nachr.7.8.64;-;-
Dr.;Erich;Eyck;-;-;Nachr.3.7.64;-;-
-;Paul;Engelmann;-;-;Nachr.2.4.65;-;-
Dr.;Ernst;Feder;-;-;Nachr.17.4.64;-;-
Dr.;Hugo;Feilchenfeld;-;6.5.64;9o:  AStern);-;-
-;Berthold;Feiwel;-;-;(n.GLandauers  Nachr.'58)2.2.62;-;-
Dr.;Ernst;Feldsberg;-;-;Präs.d.Wiener  Gem.8.5.65;-;-
-;Mouloud;Feraoun;-;-;Nachr.6.4.62;-;-
-;Lion;Feuchtwanger;-;-;(1884-1958);-;-
-;Isaak;Feuerring;-;18.1.65;25.Todestg;-;-
Dr.;Walter;Fischer;75;15.5.64;EAuerbach);-;-
-;Ella;Fleischmann;-;-;Nachr.26.1.62(VKellner);-;-
-;Alfred;Frank;-;-;Todanz.6.9.65;-;-
Prof.;Abr.Halevi;Fränkel;-;-;Nachr.29.Io.65;-;-
-;Jakob;Fränkel;-;-;8o:26.1.62;-;Haifa
Prof.;Jonas;Fränkel;-;18.6.65;85:  -Nachr.Notiz;-;-
