index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
3	Abelsohn, A. an Zunz, Leopold: Neustadt Schawindt, o.D.	Zunz, Leopold	Abelsohn, A.	Neustadt Schawindt	Neustadt Schawindt	 o.D.
27	Aschenbrand, ... an Zunz, Leopold: Niederaula, erhalten 4.9.1884	Zunz, Leopold	Aschenbrand, ...	Niederaula	Niederaula	 erhalten 4.9.1884
44	Asher, Adolf an Zunz, Leopold: Carpentras, 20.05.1839	Zunz, Leopold	Asher, Adolf	Carpentras	Carpentras	 20.05.1839
46	Asher, Anna / Asher, Adolf an Zunz, Leopold / Zunz, Adelheid: o.O., o.D.	Zunz, Leopold / Zunz, Adelheid	Asher, Anna / Asher, Adolf	o.O.	o.O.	 o.D.
47	Asher, Adolf an Zunz, Leopold: o.O., erhalten 20.10.1839	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 erhalten 20.10.1839
48	Asher, Adolf an Zunz, Leopold: o.O., o.D.	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 o.D.
49	Asher, Adolf an Zunz, Leopold: o.O., erhalten 19.11.1839	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 erhalten 19.11.1839
51	Asher, Adolf an Zunz, Leopold: o.O., 05.02.1840	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 05.02.1840
52	Asher, Adolf an Zunz, Leopold: o.O., 13.12.1839	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 13.12.1839
58	Asher, Adolf an Zunz, Leopold: o.O., 23.11.1840	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 23.11.1840
59	Asher, Adolf an Zunz, Leopold: o.O., 04.02.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 04.02.1841
60	Asher, Adolf an Zunz, Leopold: o.O., 07.02.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 07.02.1841
61	Asher, Adolf an Zunz, Leopold: o.O., 06.03.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 06.03.1841
63	Asher, Adolf an Zunz, Leopold: o.O., 25.06.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 25.06.1841
65	Asher, Adolf an Zunz, Leopold: o.O., erhalten 15.7.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 erhalten 15.7.1841
67	Asher, Adolf an Zunz, Leopold: o.O., 01.09.1841	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 01.09.1841
74	Asher, Adolf an Zunz, Leopold: o.O., erhalten 28.7.1847	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 erhalten 28.7.1847
78	Asher, Adolf an Zunz, Leopold: o.O., September 1848	Zunz, Leopold	Asher, Adolf	o.O.	o.O.	 September 1848
